,id_user,user_name,created_at,followers,following,text,text_stemmed,text_lemmatized
440,1173310750921822208,Killer Queen,2019-09-15 19:00:56,261,185,"['gymnasts', 'truly', 'defy', 'gravity', 'fucking', 'try', 'tell', 'football', 'physically', 'demanding', 'sport', 'people', 'literally', 'say', 'fuck', 'physics', 'insane', 'shit', 'one', 'paying', 'hundreds', 'dollars', 'fill', 'stadiums', 'watch', 'gymnastics', 'meets', 'like', 'make', 'make', 'sense']","['gymnast', 'truli', 'defi', 'graviti', 'fuck', 'tri', 'tell', 'footbal', 'physic', 'demand', 'sport', 'peopl', 'liter', 'say', 'fuck', 'physic', 'insan', 'shit', 'one', 'pay', 'hundr', 'dollar', 'fill', 'stadium', 'watch', 'gymnast', 'meet', 'like', 'make', 'make', 'sens']","['gymnast', 'truly', 'defy', 'gravity', 'fucking', 'try', 'tell', 'football', 'physically', 'demanding', 'sport', 'people', 'literally', 'say', 'fuck', 'physic', 'insane', 'shit', 'one', 'paying', 'hundred', 'dollar', 'fill', 'stadium', 'watch', 'gymnastics', 'meet', 'like', 'make', 'make', 'sense']"
441,1173310750577876992,PocahontasGone forever,2019-09-15 19:00:56,292,241,"['invited', 'private', 'island', 'carve', 'deadliest', 'games', 'nodding', 'knife', 'monopoly', 'actually', 'going', 'hunt', 'sport', 'really', 'interested', 'whatever', 'knife', 'monopoly']","['invit', 'privat', 'island', 'carv', 'deadliest', 'game', 'nod', 'knife', 'monopoli', 'actual', 'go', 'hunt', 'sport', 'realli', 'interest', 'whatev', 'knife', 'monopoli']","['invited', 'private', 'island', 'carve', 'deadliest', 'game', 'nodding', 'knife', 'monopoly', 'actually', 'going', 'hunt', 'sport', 'really', 'interested', 'whatever', 'knife', 'monopoly']"
442,1173310747889324033,B.IG Blue,2019-09-15 19:00:56,65,969,"['sport', 'outdated']","['sport', 'outdat']","['sport', 'outdated']"
443,1173310741295828992,Wiggle,2019-09-15 19:00:54,76099,4540,"['want', 'cycling', 'shoes', 'guide']","['want', 'cycl', 'shoe', 'guid']","['want', 'cycling', 'shoe', 'guide']"
444,1173206485976911873,Hyvast,2019-09-15 12:06:38,8761,9017,"['unionist', 'mp', 'wants', 'whack', 'leader', 'sturgeon', 'whack', 'sturgeon', 'sport', 'could', 'definitely', 'get', 'behind', 'incitement', 'harm', 'politicians', 'wrong']","['unionist', 'mp', 'want', 'whack', 'leader', 'sturgeon', 'whack', 'sturgeon', 'sport', 'could', 'definit', 'get', 'behind', 'incit', 'harm', 'politician', 'wrong']","['unionist', 'mp', 'want', 'whack', 'leader', 'sturgeon', 'whack', 'sturgeon', 'sport', 'could', 'definitely', 'get', 'behind', 'incitement', 'harm', 'politician', 'wrong']"
445,1173310738917728256,Matt,2019-09-15 19:00:53,29,50,"['sport', 'k', 'buys', 'last', 'time', 'would', 'imagine', 'last', 'fights']","['sport', 'k', 'buy', 'last', 'time', 'would', 'imagin', 'last', 'fight']","['sport', 'k', 'buy', 'last', 'time', 'would', 'imagine', 'last', 'fight']"
446,1173310737592328197,ClubPay Ltd,2019-09-15 19:00:53,654,1889,"['fielder', 'collision', 'results', 'crucial', 'six', 'new', 'sport']","['fielder', 'collis', 'result', 'crucial', 'six', 'new', 'sport']","['fielder', 'collision', 'result', 'crucial', 'six', 'new', 'sport']"
447,1173276631189925888,MKanskigolf,2019-09-15 16:45:21,3482,460,"['drama', 'love', 'thats', 'sport', 'best', 'performance']","['drama', 'love', 'that', 'sport', 'best', 'perform']","['drama', 'love', 'thats', 'sport', 'best', 'performance']"
448,1173310735105085440,Re,2019-09-15 19:00:52,479,241,"['booking', 'group', 'holiday', 'extreme', 'sport']","['book', 'group', 'holiday', 'extrem', 'sport']","['booking', 'group', 'holiday', 'extreme', 'sport']"
449,1173310724631879680,d'Lish Cafe & Deli,2019-09-15 19:00:50,23,15,"['home', 'week', 'relax', 'sport', 'amp', 'beach']","['home', 'week', 'relax', 'sport', 'amp', 'beach']","['home', 'week', 'relax', 'sport', 'amp', 'beach']"
450,1173310723172261888,sockprints,2019-09-15 19:00:50,1175,2062,"['last', 'chance', 'get', 'fan', 'wear', 'amp', 'custom', 'sports', 'socks', 'redeem', 'code', 'fan', 'tonight', 'pm']","['last', 'chanc', 'get', 'fan', 'wear', 'amp', 'custom', 'sport', 'sock', 'redeem', 'code', 'fan', 'tonight', 'pm']","['last', 'chance', 'get', 'fan', 'wear', 'amp', 'custom', 'sport', 'sock', 'redeem', 'code', 'fan', 'tonight', 'pm']"
451,1173286050560692225,IainDale,2019-09-15 17:22:47,158780,3525,"['brilliant', 'summer', 'cricket', 'interest', 'sport', 'truly', 'reawakened']","['brilliant', 'summer', 'cricket', 'interest', 'sport', 'truli', 'reawaken']","['brilliant', 'summer', 'cricket', 'interest', 'sport', 'truly', 'reawakened']"
452,1173291220522737666,SumieSakai,2019-09-15 17:43:20,9845,719,"['thank', 'much', 'amp', 'amazing', 'amp', 'bloodsport', 'fans', 'comfortable', 'messed', 'hair', 'makeup', 'amp', 'shoes', 'respect', 'proper', 'etiquette', 'great', 'attitudes', 'team', 'effort', 'amp', 'positive', 'vibes', 'locker', 'room', 'watch', 'match', 'free']","['thank', 'much', 'amp', 'amaz', 'amp', 'bloodsport', 'fan', 'comfort', 'mess', 'hair', 'makeup', 'amp', 'shoe', 'respect', 'proper', 'etiquett', 'great', 'attitud', 'team', 'effort', 'amp', 'posit', 'vibe', 'locker', 'room', 'watch', 'match', 'free']","['thank', 'much', 'amp', 'amazing', 'amp', 'bloodsport', 'fan', 'comfortable', 'messed', 'hair', 'makeup', 'amp', 'shoe', 'respect', 'proper', 'etiquette', 'great', 'attitude', 'team', 'effort', 'amp', 'positive', 'vibe', 'locker', 'room', 'watch', 'match', 'free']"
